whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28715,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28715,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28716,Manuscript,2,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28716,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28717,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28717,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28718,Manuscript,2,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28718,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28719,Manuscript,3,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28719,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28720,Manuscript,4,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28720,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
